Oak Park Heights Supercenter,https://www.walmart.com/store/1861/oak-park-heights-mn/details,5815 Norell Ave N,Oak Park Heights,MN,55082,US,651-439-7476,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",45.032923,-92.831595,,,,,
Montevideo Supercenter,https://www.walmart.com/store/1858/montevideo-mn/details,3001 E Highway 7,Montevideo,MN,56265,US,320-269-5390,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",44.951553,-95.689822,,,,,
Redwood Falls Supercenter,https://www.walmart.com/store/1865/redwood-falls-mn/details,1410 E Bridge St,Redwood Falls,MN,56283,US,507-644-6278,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",44.540069,-95.087846,,,,,
Brooklyn Park Supercenter,https://www.walmart.com/store/1864/brooklyn-park-mn/details,8000 Lakeland Ave N,Brooklyn Park,MN,55445,US,763-424-4842,,,,,,,"monday - friday : 06:00-01:00, saturday : 06:00-01:00, sunday : 06:00-01:00",45.100635,-93.385189,,,,,
Cloquet Supercenter,https://www.walmart.com/store/1929/cloquet-mn/details,1308 Highway 33 S,Cloquet,MN,55720,US,218-878-0737,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",46.7033486,-92.4518609,,,,,
Fridley Supercenter,https://www.walmart.com/store/1952/fridley-mn/details,8450 University Ave Ne,Fridley,MN,55432,US,763-780-9400,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",45.121055,-93.265533,,,,,
Rochester Supercenter,https://www.walmart.com/store/1971/rochester-mn/details,3400 55th St Nw,Rochester,MN,55901,US,507-280-7733,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",44.07697,-92.511312,,,,,
Andover Supercenter,https://www.walmart.com/store/1999/andover-mn/details,1851 Bunker Lake Blvd Nw,Andover,MN,55304,US,763-354-1559,,,,,,,"monday - friday : 06:00-23:00, saturday : 06:00-23:00, sunday : 06:00-23:00",45.221466,-93.31249,,,,,
Vadnais Heights Supercenter,https://www.walmart.com/store/2087/vadnais-heights-mn/details,850 East County Rd E,Vadnais Heights,MN,55127,US,651-486-7001,,,,,,,"monday - friday : 07:00-23:00, saturday : 07:00-23:00, sunday : 07:00-23:00",45.049086,-93.064426,,,,,
Bloomington Supercenter,https://www.walmart.com/store/2198/bloomington-mn/details,700 American Blvd E,Bloomington,MN,55420,US,952-854-5600,,,,,,,"monday - friday : 06:00-01:00, saturday : 06:00-01:00, sunday : 06:00-01:00",44.860771,-93.265676,,,,,
Forest Lake Supercenter,https://www.walmart.com/store/2274/forest-lake-mn/details,200 12th St Sw,Forest Lake,MN,55025,US,651-464-9740,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",45.276821,-93.001975,,,,,
Cambridge Supercenter,https://www.walmart.com/store/2352/cambridge-mn/details,2101 2nd Ave Se,Cambridge,MN,55008,US,763-689-0606,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",45.570271,-93.197832,,,,,
Pine City Supercenter,https://www.walmart.com/store/2367/pine-city-mn/details,950 11th St Sw,Pine City,MN,55063,US,320-629-5845,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",45.8174186,-92.9769429,,,,,
